Bloc;N°;Champ actuel;Type;ID;Label actuel;Nouveau nom souhaité;Nouvel ordre;Notes / Remarques
Liens / Commande;1;Commande liée;select;intCommande;Commande liée;;;
Liens / Commande;2;Projet Géosolia;select;intGeosolia;Projet Géosolia;;;
Liens / Commande;3;Copier chemin serveur;bouton;btnCopyServer;Copier chemin serveur;;;
Liens / Commande;4;DDC EXEPLAN;bouton;btnCreateDDC;DDC EXEPLAN;;;
Liens / Commande;5;Badge DDC;badge;ddcExistsBadge;DDC créée;;;
Titre / Client;6;Intitulé;input texte;intTitle;Intitulé;;;
Titre / Client;7;Client;input texte;intClient;Client;;;
Localisation / Type;8;Adresse du site;input texte + autocomplétion;intAddress;Adresse du site;;;
Localisation / Type;9;Type;select;intType;Type;;;
Localisation / Type;10;Barre couleur type;indicateur visuel;intTypeColorBar;(pas de label);;;
Affectation / Planning;11;Géotechnicien;select;intTech;Géotechnicien *;;;
Affectation / Planning;12;Multi-tech toggle;checkbox;intMultiTechToggle;Appliquer à plusieurs techniciens;;;
Affectation / Planning;13;Liste multi-tech;checkboxes;intMultiTechList;(pas de label);;;
Affectation / Planning;14;Date;input date;intDate;Date *;;;
Affectation / Planning;15;Durée;input texte;intDuration;Durée;;;
Flags;16;Drapeaux;checkboxes dynamiques;intFlagsContainer;(générés dynamiquement);;;
Récurrence;17;Activer récurrence;checkbox;intRecurrenceEnabled;Récurrence;;;
Récurrence;18;Fréquence;select;intRecurrenceFreq;Fréquence;;;
Récurrence;19;Jours personnalisés;input nombre;intRecurrenceCustomDays;Tous les N jours;;;
Récurrence;20;Type de fin;select;intRecurrenceEndType;Fin de récurrence;;;
Récurrence;21;Date de fin;input date;intRecurrenceEndDate;Date de fin;;;
Récurrence;22;Nb occurrences;input nombre;intRecurrenceCount;Occurrences;;;
Récurrence;23;Aperçu récurrence;texte;intRecurrencePreview;(dynamique);;;
Infos projet;24;Infos Géosolia;zone info;intGeosoliaInfo;(contenu dynamique);;;
Notes / Commentaires;25;Notes;textarea;intNotes;Notes;;;
Notes / Commentaires;26;Commentaires;div éditable;intInfosAdv;Commentaires;;;
Habitudes;27;Habitudes client;accordéon;habClient*;Habitudes client;;;
Habitudes;28;Habitudes GO;accordéon;habGo*;Habitudes GO;;;
Champs cachés;29;Affaire;input caché;intAffaire;(caché);;;
Champs cachés;30;Marché;input caché;intMarche;(caché);;;
Champs cachés;31;Heure début;input caché;intStart;(caché);;;
Champs cachés;32;Heure fin;input caché;intEnd;(caché);;;
Champs cachés;33;Trajet aller;input caché;intTravel;(caché);;;
Champs cachés;34;Trajet retour;input caché;intTravelReturn;(caché);;;
Champs cachés;35;Statut;select caché;intStatus;(caché);;;
